arch,segment,name,offset_hex,size_bytes,has_warnings,unique_calls,has_globals,score,preview
PPC,PPC_0007,FUN_100e5774,0x100e5774,408,True,6,False,538,"void FUN_100e5774(int *param_1,int *param_2)"
PPC,PPC_0002,FUN_10069174,0x10069174,484,False,11,False,539,void FUN_10069174(int *param_1)
PPC,PPC_0003,FUN_10075570,0x10075570,420,True,4,False,540,"void FUN_10075570(int param_1,int param_2,char param_3)"
PPC,PPC_0007,FUN_100e60d4,0x100e60d4,416,True,5,False,541,"void FUN_100e60d4(int *param_1,int *param_2)"
PPC,PPC_0008,FUN_101001e0,0x101001e0,412,True,6,False,542,void FUN_101001e0(int *param_1)
PPC,PPC_0008,FUN_100f7310,0x100f7310,492,False,10,False,542,void FUN_100f7310(int *param_1)
PPC,PPC_0001,FUN_10022f50,0x10022f50,408,True,7,False,543,"void FUN_10022f50(short param_1,short param_2,undefined1 *param_3,undefined1 *pa"
PPC,PPC_0002,FUN_1005310c,0x1005310c,408,True,3,True,543,bool FUN_1005310c(int param_1)
PPC,PPC_0003,FUN_1007a150,0x1007a150,428,True,3,False,543,void FUN_1007a150(int param_1)
PPC,PPC_0004,FUN_100aa60c,0x100aa60c,428,True,3,False,543,void FUN_100aa60c(int param_1)
PPC,PPC_0004,FUN_100aeb94,0x100aeb94,428,True,3,False,543,void FUN_100aeb94(void)
PPC,PPC_0004,FUN_100aed40,0x100aed40,428,True,3,False,543,void FUN_100aed40(void)
PPC,PPC_0004,FUN_100a8724,0x100a8724,424,True,4,False,544,void FUN_100a8724(void)
